Y,X,coint_pval,beta_ols,beta_kf,alpha_kf,ou_mu,ou_std,half_life_days,signals_per_year,theta,adf_pval
CVE.TO,ENB.TO,0.0359306348297168,-0.20065439625326859,0.6299680013159683,0.6511117747756653,0.23841907810349658,0.02918380223588438,2.907263907207348,6.938325991189427,-0.0018609566216615042,9.044155868427525e-17
CVE.TO,PPL.TO,0.046254606665356905,-0.10222069613949439,0.6449311591184554,0.6576772750108872,0.2350007400875646,0.02744036311565178,2.9495531814141045,5.828193832599119,-0.0016034001387357306,1.5884709265474388e-16
CVE.TO,TRP.TO,0.0343783641316394,-0.1738345891818917,0.6249841694472978,0.6458653945081815,0.23578024733164044,0.030003729727601094,2.9398017365932616,6.6607929515418505,-0.001774275018170512,6.096763209000892e-17
DDOG,INTU,0.04715521994380656,0.9297204101926204,0.6423199201170631,0.640693077287608,0.34371896962421933,0.02945262376989273,2.0166102014030485,6.938325991189427,-2.196242967863051e-05,4.026633303157549e-24
DOL.TO,L.TO,0.020069613508003795,1.1559058541410354,1.0280601533952034,1.0127081333820942,0.3827011553203132,0.016362587698872316,1.8111969899327716,6.6607929515418505,0.0010935735146797793,4.711365142534779e-24
EA,GOOG,0.036279952898531205,0.4152649443102387,0.8146336661371818,0.8655199411826705,0.2822504374273048,0.023527746450242297,2.45578779922518,7.215859030837004,-0.0016937048407411775,8.061261640304455e-21
EA,GOOGL,0.03378714079998857,0.4157261607169377,0.8155764791576997,0.8666555717686749,0.28231335358852105,0.023602191998226194,2.455240504033065,6.938325991189427,-0.0017062744059260122,8.287978106364316e-21
ENB.TO,TRP.TO,0.012175784700434303,0.7793623953190436,0.7918737922559095,0.7725594436500264,0.4091090801762765,0.0090206238186437,1.6942845176188286,8.603524229074889,0.0004351901513820702,0.0
FTNT,GFS,0.021866819603529503,-0.7717252207595962,0.8655807712233099,0.905296586842564,0.2752992938164527,0.0377285558723526,2.517794982147974,5.5506607929515415,0.0029470732186421375,2.855278540112187e-22
GFS,KLAC,0.03722168848679106,-0.4026200491367699,0.5251654730871682,0.556308799698388,0.3689891955927951,0.02314933283837329,1.87850264679533,8.048458149779735,-0.002913043070201637,2.592829829379278e-25
GFS,MSFT,0.0466982017562741,-0.5996227784466062,0.5627306340126527,0.5755671963674217,0.38254292255963485,0.025935585890749076,1.8119461625953626,9.713656387665198,-0.002176321458014305,1.3074404781880964e-25
GFS,NVDA,0.04603224462098935,-0.18104710847959418,0.7337921456741856,1.0346084907373263,0.27854996640909213,0.035489713767463016,2.488412364559238,6.6607929515418505,-0.010154077634659253,5.464030866241841e-11
GFS,PANW,0.0346231181644705,-0.4615910042795483,0.6478442004309201,0.7151869740785716,0.3509564646469563,0.03024751864149784,1.975023258959526,9.43612334801762,-0.003249046529198044,6.951795334619665e-23
GFS,SHOP,0.035726454462375,-0.33033011019000835,0.7078594346256695,0.9291717171395965,0.28227399169722867,0.03927753237486672,2.455582876737101,7.493392070484582,-0.006193039396358853,4.587322721317344e-23
GFS,ZS,0.012994768906020117,-0.5401766898706922,0.6206459693678491,0.663847660740903,0.3115451324592291,0.031133411335368774,2.224869235120068,8.603524229074889,-0.0020780677860090025,3.9618191699307367e-23
GOOG,GOOGL,0.02427693227045948,0.99913039364642,0.8378137958509545,0.8118657790392674,0.5499358562669517,0.0036563551483851835,1.26041459683159,9.713656387665198,0.0007051409434951388,0.0
IMO.TO,SU.TO,0.009690232348076254,1.4623922536206733,0.9269252983376067,0.8754882754345618,0.34226298299128566,0.013622070569627689,2.0251888606299953,9.158590308370044,0.0015104317158906345,3.543721580301359e-13
INTU,MSFT,0.005547360659269125,0.8138437530943352,0.9162613147058752,0.907593102515452,0.41519751582845005,0.016972285308247077,1.669439614003706,8.325991189427313,-0.0001506885613660908,1.8758599603721357e-29
INTU,PANW,0.0059411791333539325,0.6041152395742906,1.0513879228794258,1.140967306370096,0.32324133568586716,0.02918876989483716,2.1443643000954573,7.215859030837004,-0.0013328090991186264,1.029289219604331e-21
ISRG,VRTX,0.03724314660047277,1.6406452540336232,0.8530983258849391,0.8203698796654154,0.3573112951473806,0.02355109700781327,1.9398971988110314,8.325991189427313,0.0017377333362412616,5.1555031381160903e-26
KDP,MNST,0.011186564306374821,-0.387538982999312,0.6842611937237436,0.721493789180583,0.24405151333633654,0.017549378984922315,2.840167516620531,6.938325991189427,-0.002750742797317338,9.891419414636025e-26
MSFT,PANW,0.04592635405857466,0.7212029731738188,0.9817228388334295,1.0652462368344278,0.3413512177709761,0.02628055748966388,2.0305982357004533,4.71806167400881,-0.0006987876059183526,1.7349617733659407e-23
NA.TO,RY.TO,0.038475081542806794,1.0211551273128645,0.7881302396218851,0.7569483243995281,0.5248142614036877,0.009065251213918544,1.3207476083177088,6.938325991189427,0.0009723227197193359,1.8461555701776136e-26
NTR.TO,TECK-B.TO,0.039162664437249695,-0.571383972169883,0.8472745236588695,0.9790019806490194,0.28442862713944334,0.029995289240832383,2.4369810715998166,6.383259911894273,-0.002226774222944424,5.754582374462593e-19
NXPI,SNPS,0.004569069471855156,0.745753272459134,0.7416580774286847,0.7485192225743769,0.511224005102424,0.020962316430511867,1.3558580458698781,7.215859030837004,0.00010507148682710353,1.0474182993400272e-19
SBUX,TSLA,0.024950160997875673,-0.012000443484569096,0.6754996780609684,0.7647829323058449,0.22851659201527424,0.0353068809824617,3.033246620943895,7.493392070484582,-0.0008196417837922081,1.2573893853630139e-15
TOU.TO,TRP.TO,0.010671201319635164,0.1603365866265773,0.8245881649892478,0.8244913149596997,0.27888933687039974,0.023421240318455952,2.4853843045352852,8.881057268722467,-0.0013031781630727208,7.48668060227787e-21
