Date,returns,HMM Prob(R0),HMM Prob(R1),Signal [RF],signal
2018-01-29,-0.006629617577124325,0.1,0.9,0.5262476981315262,2.0
2018-01-30,-0.010257243087227086,0.1,0.9,0.6160997668302179,2.0
2018-01-31,0.0004965989973801932,0.1,0.9,0.6461373279499817,2.0
2018-02-01,-0.0011351839326344537,0.1,0.9,0.6348881895193577,2.0
2018-02-02,-0.021769930368620072,0.1,0.9,0.5735756786113371,2.0
2018-02-05,-0.04182287305182564,0.1,0.9,0.6434322803403938,2.0
2018-02-06,0.01970271508397259,0.1,0.9,0.6412131114190884,2.0
2018-02-07,-0.005424628049615854,0.1,0.9,0.5608527957512149,2.0
2018-02-08,-0.0375092245801355,0.1,0.9,0.6465124636939443,2.0
2018-02-09,0.0150217749696544,0.43055479207274455,0.5694452079272533,0.6674886411320449,0.0
2018-02-12,0.014684364283243712,0.9,0.1,0.5474566477452694,0.0
2018-02-13,0.002487358079060753,0.9,0.1,0.5183305485266808,0.0
2018-02-14,0.013496340206198942,0.9,0.1,0.5187799498494774,1.0
2018-02-15,0.012759936019683948,0.9,0.1,0.5084222958968571,1.0
2018-02-16,0.00029320514131803144,0.9,0.1,0.5179060237248981,1.0
2018-02-20,-0.006261414859350722,0.9,0.1,0.5651788787352783,1.0
2018-02-21,-0.004974027866293751,0.9,0.1,0.6067987881306514,1.0
2018-02-22,0.001296065906330135,0.9,0.1,0.6064344183651337,1.0
2018-02-23,0.015939195880397605,0.9,0.1,0.578461469103172,1.0
2018-02-26,0.011612116540462347,0.9,0.1,0.4990124398341479,0.0
2018-02-27,-0.01248643715761033,0.9,0.1,0.513859293550023,1.0
2018-02-28,-0.01012992813107827,0.9,0.1,0.6022532464402343,1.0
2018-03-01,-0.014540932248987448,0.9,0.1,0.5966849018263963,0.0
2018-03-02,0.005155013918312301,0.9,0.1,0.6384025539975947,0.0
2018-03-05,0.011558146668241731,0.9,0.1,0.531326026854453,0.0
2018-03-06,0.002534893255952797,0.9,0.1,0.5138297421143164,1.0
2018-03-07,-0.00036632882797515975,0.9,0.1,0.5607592041260173,1.0
2018-03-08,0.004838778681391487,0.9,0.1,0.5194957213252455,1.0
2018-03-09,0.01740244569915328,0.9,0.1,0.4863968152643242,0.0
2018-03-12,-0.001255136447332772,0.1,0.9,0.4971877727556141,2.0
2018-03-13,-0.006462683955698045,0.1,0.9,0.5597333546047151,2.0
2018-03-14,-0.005131752716037052,0.1,0.9,0.5650047374357341,2.0
2018-03-15,-0.0010893263239585282,0.1,0.9,0.5743812800146368,2.0
2018-03-16,0.0010842458458033555,0.1,0.9,0.5424761819748424,2.0
2018-03-19,-0.013530222717502038,0.1,0.9,0.5662780426465623,2.0
2018-03-20,0.0017006851298879688,0.1,0.9,0.612883332313121,2.0
2018-03-21,-0.0019193294836484798,0.1,0.9,0.5399903423538052,2.0
2018-03-22,-0.024997106485706744,0.1,0.9,0.6019158471802656,2.0
2018-03-23,-0.02131474726216409,0.1,0.9,0.6289845387360686,2.0
2018-03-26,0.027359115680969825,0.1,0.9,0.6302717584748552,2.0
2018-03-27,-0.017011780669609178,0.1,0.9,0.5406773639502678,2.0
2018-03-28,-0.0029546960442176085,0.1,0.9,0.6245161432465999,2.0
